Date,Open,High,Low,Close,Adj Close,Volume
1992-12-10,232.500000,232.500000,231.009995,231.929993,231.929993,0
1992-12-11,231.929993,231.929993,231.279999,231.520004,231.520004,0
1992-12-14,231.520004,232.199997,231.070007,231.070007,231.070007,0
1992-12-15,231.070007,231.270004,230.460007,230.860001,230.860001,0
1992-12-16,230.860001,231.570007,229.850006,230.169998,230.169998,0
1992-12-17,230.169998,232.229996,230.160004,232.229996,232.229996,0
1992-12-18,232.229996,235.059998,232.220001,235.059998,235.059998,0
1992-12-21,235.059998,235.059998,234.320007,234.940002,234.940002,0
1992-12-22,234.940002,235.470001,233.869995,234.940002,234.940002,0
1992-12-23,234.940002,235.220001,234.360001,234.369995,234.369995,0
1992-12-24,234.369995,234.690002,234.339996,234.690002,234.690002,0
1992-12-28,234.690002,234.690002,233.539993,234.550003,234.550003,0
1992-12-29,234.550003,236.320007,234.059998,234.220001,234.220001,0
1992-12-30,234.220001,234.869995,233.860001,234.639999,234.639999,0
1992-12-31,234.639999,235.169998,233.589996,233.589996,233.589996,0
1993-01-04,233.580002,234.179993,232.830002,233.130005,233.130005,0
1993-01-05,233.130005,233.130005,232.119995,232.500000,232.500000,0
1993-01-06,232.500000,232.889999,231.619995,232.710007,232.710007,0
1993-01-07,232.710007,233.160004,230.360001,230.789993,230.789993,0
1993-01-08,230.800003,230.800003,228.740005,229.910004,229.910004,0
1993-01-11,229.910004,230.990005,229.889999,230.990005,230.990005,0
1993-01-12,230.990005,231.240005,229.649994,231.009995,231.009995,0
1993-01-13,231.009995,232.289993,230.479996,232.199997,232.199997,0
1993-01-14,232.199997,233.850006,232.199997,233.850006,233.850006,0
1993-01-15,233.850006,235.679993,233.750000,234.580002,234.580002,0
1993-01-18,234.580002,234.580002,233.990005,234.539993,234.539993,0
1993-01-19,234.539993,234.940002,233.500000,233.800003,233.800003,0
1993-01-20,233.800003,234.289993,232.940002,232.940002,232.940002,0
1993-01-21,232.940002,234.160004,232.529999,234.059998,234.059998,0
1993-01-22,234.070007,235.210007,234.070007,234.389999,234.389999,0
1993-01-25,234.389999,236.509995,234.389999,236.240005,236.240005,0
1993-01-26,236.240005,237.509995,235.880005,236.070007,236.070007,0
1993-01-27,236.070007,236.100006,234.300003,234.899994,234.899994,0
